ENTITIES,GROUPS,FAMILY,CROSS SECTION mm,Fixation,SPOOL TYPE,RM,LME PROJECTS,MATCH,Month,Month Name,QTY_Km,RC_Needs_Kg,CC_Needs_Kg,ES_mm,AV_INDEX,TOTAL_AMOUNT,LME_SALES_avg,BASIC_LME_avg,UNIT_PRICE_avg,AV_avg
COFICAB Kenitra,APTIV,A3Z-P     ,75,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,38A3Z-P     0075,1,Jan,14.036999999999999,88.84682093800099,95.4516,10.527750000000001,210.13389,1201.6593388679998,10.38773,10.05573,85.60656399999999,14.97
COFICAB Kenitra,APTIV,A3Z-P     ,75,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0075,1,Jan,2065.362,13072.654255620973,14044.4616,1549.0215,30918.46914,176808.54423616797,10.38773,10.05573,85.60656399999999,14.97
COFICAB Kenitra,APTIV,A3Z-P     ,100,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,38A3Z-P     0100,1,Jan,59.551,500.98703105916104,500.2284,59.550999999999995,1087.40126,6283.638817532001,10.38773,10.05573,105.51693200000003,18.26
COFICAB Kenitra,APTIV,A3Z-P     ,100,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0100,1,Jan,263.038,2212.8700890957266,2209.5192,263.038,4803.07388,27754.962759416005,10.38773,10.05573,105.51693200000001,18.26
COFICAB Kenitra,APTIV,A3Z-P     ,150,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,38A3Z-P     0150,1,Jan,20.767,254.64761733345924,269.971,31.1505,513.15257,3317.53842583,10.38773,10.05573,159.75049,24.71
COFICAB Kenitra,APTIV,A3Z-P     ,150,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0150,1,Jan,1571.433,19269.112979687477,20428.629,2357.1495,38830.109430000004,251037.19175217,10.38773,10.05573,159.75049,24.71
COFICAB Kenitra,APTIV,A3Z-P     ,200,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0200,1,Jan,697.027,11467.47730599785,11500.9455,1394.054,23183.118019999998,142651.834618715,10.387730000000001,10.05573,204.65754499999997,33.26
COFICAB Kenitra,APTIV,A3Z-P     ,250,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,38A3Z-P     0250,1,Jan,15.204,310.2602175337268,334.488,38.01,513.135,3987.70603224,10.38773,10.05573,262.28006,33.75
COFICAB Kenitra,APTIV,A3Z-P     ,250,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0250,1,Jan,1189.175,24266.88333239079,26161.85,2972.9375,40134.65625,311896.8903505,10.38773,10.05573,262.28006,33.75
COFICAB Kenitra,APTIV,A3Z-P     ,300,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0300,1,Jan,14.104,360.6788615537865,380.808,42.312,701.81504,4657.54572584,10.38773,10.05573,330.22871,49.76
COFICAB Kenitra,APTIV,A3Z-P     ,400,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0400,1,Jan,32.314,1064.4173797724447,1163.304,129.256,1909.7574,13993.84525992,10.38773,10.05573,433.0582800000001,59.10000000000001
COFICAB Kenitra,APTIV,A3Z-P     ,500,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0500,1,Jan,104.193,4094.872196041096,4688.685,520.965,7512.315299999999,56217.10913504999,10.38773,10.05573,539.5478499999999,72.1
COFICAB Kenitra,APTIV,A3Z-P     ,600,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,38A3Z-P     0600,1,Jan,3.5759999999999996,176.7287185003661,193.10399999999998,21.456,313.18607999999995,2319.0982939200003,10.38773,10.05573,648.51742,87.58
COFICAB Kenitra,APTIV,A3Z-P     ,600,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0600,1,Jan,451.696,22323.169807533945,24391.584000000003,2710.176,39559.53568,292932.72454432,10.38773,10.05573,648.51742,87.58000000000001
COFICAB Kenitra,APTIV,A3Z-P     ,700,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0700,1,Jan,24.184,1379.7081631938513,1523.592,169.288,2744.40032,18571.06264616,10.38773,10.05573,767.90699,113.48
COFICAB Kenitra,APTIV,A3ZP      ,50,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,38A3ZP      0050,1,Jan,49.232,208.15351768180122,216.62080000000003,24.616,598.1688,2848.367182784,10.38773,10.05573,57.856012,12.15
COFICAB Kenitra,APTIV,A3ZP      ,50,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0050,1,Jan,256.966,1086.4554928628074,1130.6504,128.483,3122.1369,14867.027979592,10.387730000000001,10.05573,57.856012,12.150000000000002
COFICAB Kenitra,APTIV,A3ZP      ,75,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,38A3ZP      0075,1,Jan,55.915,353.9125164029583,380.222,41.93625,837.04755,4786.69102606,10.38773,10.05573,85.606564,14.97
COFICAB Kenitra,APTIV,A3ZP      ,75,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0075,1,Jan,1351.802,8556.195072852575,9192.2536,1013.8515,20236.47594,115723.12442832798,10.38773,10.05573,85.60656399999999,14.969999999999999
COFICAB Kenitra,APTIV,A3ZP      ,100,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,38A3ZP      0100,1,Jan,29.585,248.89088871530754,248.514,29.585,540.2221000000001,3121.7184332200004,10.38773,10.05573,105.51693200000003,18.26
COFICAB Kenitra,APTIV,A3ZP      ,100,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0100,1,Jan,192.442,1618.9643537654629,1616.5128,192.44199999999998,3513.99092,20305.889427944003,10.38773,10.05573,105.51693200000001,18.26
COFICAB Kenitra,APTIV,A3ZP      ,150,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,38A3ZP      0150,1,Jan,16.844,206.54328821518695,218.97199999999998,25.266,416.21524,2690.83725356,10.38773,10.05573,159.75049,24.71
COFICAB Kenitra,APTIV,A3ZP      ,150,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0150,1,Jan,193.531,2373.1019420311886,2515.903,290.2965,4782.1510100000005,30916.67208019,10.38773,10.05573,159.75049,24.71
COFICAB Kenitra,APTIV,A3ZP      ,200,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0200,1,Jan,357.48199999999997,5881.288274776621,5898.4529999999995,714.964,11889.85132,73161.38850168999,10.38773,10.05573,204.65754499999997,33.26
COFICAB Kenitra,APTIV,A3ZP      ,250,M-1,PRODUCED,PPZH-M,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0250,1,Jan,561.274,11453.63018521606,12348.028,1403.185,18942.9975,147210.97839643998,10.38773,10.05573,262.28006,33.75
COFICAB Kenitra,APTIV,A3ZP      ,300,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0300,1,Jan,97.456,2492.223421127752,2631.312,292.368,4849.41056,32182.76916176,10.38773,10.05573,330.22871,49.76
COFICAB Kenitra,APTIV,A3ZP      ,400,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0400,1,Jan,266.471,8777.507074498457,9592.956,1065.884,15748.4361,115397.47292988001,10.38773,10.05573,433.05828,59.1
COFICAB Kenitra,APTIV,A3ZP      ,500,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0500,1,Jan,105.761,4156.495909758835,4759.245,528.805,7625.3681,57063.12016384999,10.38773,10.05573,539.5478499999999,72.1
COFICAB Kenitra,APTIV,A3ZP      ,700,M-1,PRODUCED,PPZH-H,LME Forward 3M(M-1) + 332€ APTIV,85A3ZP      0700,1,Jan,82.21600000000001,4690.460070507182,5179.608,575.5120000000001,9329.87168,63134.24108984,10.38773,10.05573,767.9069899999998,113.48
COFICAB Kenitra,APTIV,B2M       ,13,M-1,PRODUCED,PVC2035T,LME CASH M-1 + 315$ + 1% + 122€ APTIV,85B2M       0013,1,Jan,2975.542,3510.3651947752533,3577.27845,386.82046,29338.844119999998,67167.061271801,10.57458,10.08095,22.573099973214283,9.86
COFICAB Kenitra,APTIV,B2M       ,13,M-1,PURCHASED,PVC2035T,LME CASH M-1 + 315$ + 1% + 122€ APTIV,85B2M       0013,1,Jan,83.558,98.57669458035902,100.2696,10.862540000000001,823.88188,1884.190786768,10.57458,10.08095,22.549495999999998,9.86
COFICAB Kenitra,APTIV,F3        ,35,M-1,PRODUCED,PPH31203,LME Cash M-1 + 332€ APTIV,38F3        0035,1,Jan,56.0,168.75591810816684,179.20000000000002,19.6,637.84,2503.686528,10.41209,10.08009,44.708688,11.39
COFICAB Kenitra,APTIV,F3        ,50,M-1,PRODUCED,PPH31203,LME Cash M-1 + 332€ APTIV,38F3        0050,1,Jan,37.003,156.14513456483596,162.8132,18.5015,454.02680999999995,2149.252501588,10.41209,10.08009,58.083196,12.27
